0286,0008,0323
0333,0965,0297
0309,0296,0302
0361,0521,0311
0354,0544,0371
0305,0125,0377
0288,0619,0344
0333,0942,0315
0291,0730,0306
0357,0871,0302
0300,0118,0328
0302,0716,0354
0310,0798,0318
0295,0503,0350
0308,0071,0383
0336,0613,0340
0381,0629,0286
0372,0294,0382
0299,0743,0348
0370,0702,0290
0316,0464,0299
0314,0613,0306
0376,0998,0316
0343,0850,0349
0288,0203,0345
0314,0605,0368
0338,0321,0290
0361,0633,0356
0353,0643,0295
0307,0690,0313
0372,0998,0348
0344,0456,0368
0296,0482,0286
0310,0065,0368
0377,0799,0335
0364,0291,0342
0289,0107,0379
0337,0719,0367
0356,0906,0345
0331,0793,0308
0330,0589,0308
0308,0803,0360
0359,0000,0341
0345,0389,0349
0336,0911,0334
0288,0350,0345
0385,0137,0341
0290,0602,0383
0314,0912,0316
0323,0684,0352
0315,0560,0380
0311,0843,0312
0325,0708,0379
0349,0026,0286
0340,0756,0350
0310,0094,0289
0328,0990,0370
0344,0636,0292
0381,0071,0313
0348,0587,0291
0289,0254,0329
0371,0005,0291
0369,0171,0302
0312,0909,0344
0360,0848,0295
0373,0669,0341
0332,0194,0385
0337,0604,0373
0368,0365,0298
0362,0585,0376
0340,0396,0362
0370,0913,0330
0344,0030,0347
0364,0694,0364
0345,0245,0314
0323,0339,0307
0369,0184,0318
0311,0175,0306
0362,0907,0322
0344,0770,0287
0020,0769,0088
0051,0447,0074
0033,0115,0098
0007,0084,0081
0089,0651,0091
0007,0534,0064
0078,0855,0013
0102,0869,0005
0077,0801,0043
0092,0709,0071
0003,0528,0088
0096,0560,0075
0017,0290,0030
0084,0585,0068
0072,0690,0099
0102,0094,0030
0055,0797,0101
0029,0581,0090
0052,0665,0003
0075,0903,0006
0081,0842,0088
0025,0982,0037
0083,0102,0070
0052,0098,0054
0037,0295,0027
0047,0973,0032
0047,0222,0030
0022,0763,0085
0064,0114,0023
0094,0982,0102
0030,0858,0014
0065,0326,0100
0076,0871,0092
0031,0220,0020
0051,0849,0092
0057,0041,0089
0081,0536,0003
0072,0824,0076
0038,0627,0064
0023,0125,0034
0037,0412,0053
0031,0578,0033
0010,0666,0058
0025,0461,0072
