618,146
304,532
609,153
301,524
608,152
308,531
620,139
617,145
298,530
312,517
627,154
625,137
629,153
618,160
296,519
617,147
299,539
317,525
608,146
300,528
606,162
297,516
315,516
618,148
310,516
311,522
309,522
297,540
308,532
620,160
303,535
314,540
614,152
299,538
306,538
293,528
621,146
614,160
299,537
299,522
302,538
610,144
317,525
622,154
297,523
621,149
605,158
302,538
610,150
618,144
617,162
296,518
609,150
305,524
621,149
625,148
298,532
624,137
607,157
625,160
300,534
299,528
611,162
627,137
622,159
311,518
625,146
309,537
629,153
614,147
608,147
607,145
293,535
611,146
610,143
312,522
606,157
609,159
627,142
628,146
620,158
630,146
627,145
609,156
630,154
610,153
608,158
607,162
314,519
606,137
629,139
618,153
627,154
619,138
620,152
606,162
628,142
315,539
293,537
625,157
302,529
312,518
624,158
314,528
624,151
613,161
315,515
315,535
313,519
316,517
300,527
305,527
624,157
618,155
615,157
606,160
613,160
300,532
612,159
311,529
627,159
610,139
302,536
605,148
608,154
606,161
297,524
629,149
612,150
292,521
293,522
617,159
613,151
298,519
307,538
605,144
614,159
609,151
314,531
311,539
607,159
300,515
614,144
630,161
316,532
619,139
608,139
314,517
627,156
629,153
611,143
313,534
307,519
611,148
623,159
624,149
608,152
630,160
609,148
315,540
608,157
629,154
606,161
315,535
614,160
311,517
619,151
301,528
617,137
608,148
610,140
292,528
627,157
622,161
300,531
622,158
626,153
623,151
310,517
627,159
299,516
308,537
302,524
618,152
298,519
618,141
605,145
298,516
313,515
614,146
621,158
618,137
313,536
625,140
307,534
611,144
302,532
302,516
630,159
294,520
316,527
307,540
295,529
315,516
608,161
615,143
295,522
614,145
297,538
304,522
302,525
623,142
305,527
627,137
624,156
304,524
618,145
293,530
308,531
605,156
623,147
294,528
624,152
313,523
605,152
609,147
302,533
609,139
608,139
624,156
315,528
620,160
305,521
295,524
292,523
309,537
317,522
313,530
617,148
293,524
294,515
295,519
294,518
308,530
316,535
610,142
606,160
619,139
315,536
615,140
616,139
618,137
624,146
613,152
316,531
606,150
625,137
298,531
299,539
315,521
296,535
311,527
313,539
628,153
304,538
314,516
293,524
612,138
295,534
302,537
312,519
619,159
303,529
309,520
626,152
614,153
622,140
627,153
613,144
629,151
306,518
618,160
623,153
606,137
303,534
302,537
607,143
304,525
608,158
307,515
315,524
294,536
296,520
307,538
620,138
316,523
302,534
615,152
297,517
620,162
294,525
298,518
620,153
623,157
613,144
607,138
312,531
294,530
315,535
628,148
316,538
625,143
626,157
606,150
610,161
303,530
609,137
312,534
293,536
302,522
298,526
620,155
315,522
300,534
313,523
615,159
313,525
308,520
607,149
304,521
611,143
622,162
626,148
622,159
309,527
312,516
301,522
295,518
292,517
616,155
316,536
609,158
304,528
304,516
309,519
316,515
311,519
620,152
630,158
302,517
605,155
613,162
293,522
610,155
619,158
316,517
607,156
305,536
606,141
293,540
608,140
308,517
619,158
623,150
299,527
315,525
615,158
299,520
618,148
605,140
622,142
306,540
302,529
303,519
316,540
617,150
607,146
314,520
314,519
302,532
612,149
615,137
316,516
610,150
621,159
622,148
628,158
317,517
304,535
303,519
607,154
608,156
301,538
617,150
627,137
297,539
314,536
629,160
306,534
310,531
300,515
299,535
621,157
608,142
605,150
609,158
610,149
314,516
629,161
611,156
293,532
297,528
308,522
627,151
611,157
611,145
315,537
615,152
299,530
629,138
614,144
609,162
316,519
620,138
312,527
308,532
615,157
307,515
294,539
295,540
293,536
314,529
605,159
316,534
630,148
617,141
608,147
315,535
292,540
630,162
292,526
623,142
309,524
311,528
299,536
628,160
316,534
311,538
607,161
307,517
609,152
617,139
292,515
616,152
296,531
610,146
304,515
293,526
625,141
623,159
310,535
307,525
613,145
629,139
606,146
292,525
304,530
619,139
607,156
292,540
607,154
316,516
630,157
628,142
615,145
620,155
611,159
297,540
612,153
300,525
627,150
612,149
301,532
297,522
623,137
294,531
303,517
617,160
302,526
314,522
316,522
612,153
296,534
621,148
622,137
317,529
299,520
612,160
617,151
317,524
293,524
621,139
299,533
625,152
308,518
305,517
305,520
305,525
304,521
626,152
611,148
306,528
626,156
618,147
612,162
623,161
623,140
312,526
307,517
629,146
292,529
618,138
303,528
311,537
621,152
617,141
302,535
622,143
292,536
310,520
314,522
296,534
293,538
294,534
629,152
312,521
316,536
292,538
316,523
620,162
310,536
606,159
301,530
298,537
606,140
303,521
310,521
314,527
614,156
296,529
301,519
605,143
292,519
296,517
313,536
292,527
617,162
310,524
612,160
302,538
611,149
298,525
613,156
622,145
292,535
306,540
608,139
309,522
307,533
612,157
609,144
612,140
304,520
609,156
609,151
315,521
304,539
316,531
301,528
612,160
295,516
620,141
625,143
315,521
309,526
618,151
314,523
302,523
615,155
608,160
305,529
308,515
315,527
302,535
302,538
625,144
608,153
611,139
613,144
626,152
607,157
615,143
312,523
303,535
610,144
612,142
617,161
315,529
615,156
294,539
623,140
618,140
297,528
300,533
315,519
292,515
313,524
312,536
292,517
293,516
306,537
621,159
294,523
624,146
297,534
308,517
620,155
611,144
614,157
299,533
623,158
317,536
613,155
317,519
613,141
299,538
624,142
629,162
294,525
308,529
630,143
607,157
313,527
312,529
312,534
300,538
296,538
307,531
304,520
613,158
308,521
295,516
609,152
611,159
301,524
618,139
314,517
294,523
625,137
314,532
309,522
620,147
313,529
299,538
304,517
626,140
619,138
294,525
617,152
306,518
296,521
309,521
615,159
293,538
608,162
314,520
315,520
316,534
302,532
630,161
307,536
294,533
630,152
308,533
608,152
302,522
314,523
620,138
293,540
311,533
311,534
620,158
629,154
304,521
620,149
302,531
612,151
308,531
622,146
608,160
300,537
624,158
607,159
606,142
307,539
305,538
629,143
624,137
628,138
314,523
302,519
297,527
615,140
616,141
313,538
616,157
623,152
609,150
622,137
606,150
606,159
309,533
629,138
296,529
303,518
608,153
624,149
612,144
615,149
615,156
315,524
626,142
612,137
626,157
292,535
292,522
312,516
626,137
620,159
302,536
606,153
312,539
315,534
303,523
301,532
620,153
619,159
611,155
613,143
629,151
302,534
620,154
606,142
607,149
608,148
297,532
