470,715,814
313,183,483
478,728,819
560,337,224
320,193,480
331,193,480
478,659,369
571,333,227
485,665,378
463,669,365
471,733,813
483,666,377
325,197,480
329,178,477
567,338,220
319,181,472
481,724,824
311,182,480
584,341,221
473,663,376
484,718,832
323,177,486
574,317,204
465,669,361
482,715,832
486,660,369
482,666,364
574,341,203
488,713,819
315,192,485
474,718,823
312,197,480
491,711,813
464,670,361
331,190,482
322,198,484
469,671,357
306,185,477
482,653,358
483,665,371
323,180,476
565,328,226
583,340,215
480,723,829
475,731,832
317,176,468
569,342,213
477,719,812
565,322,202
310,180,490
565,318,208
492,735,820
483,676,361
319,173,478
311,175,476
566,317,205
320,188,480
569,334,207
583,331,214
473,729,832
582,324,218
575,338,217
563,336,211
478,670,364
481,714,831
315,193,484
490,726,811
582,329,209
322,184,468
483,661,368
570,331,222
479,657,356
491,713,825
330,179,481
485,653,372
323,194,470
325,196,482
470,713,828
331,181,481
470,658,366
474,654,361
487,673,373
321,194,474
471,670,363
311,183,478
307,184,474
576,319,203
560,340,203
322,179,477
317,196,482
330,190,483
571,342,206
465,660,372
324,190,481
488,721,808
567,320,211
571,332,204
580,324,207
580,332,218
316,191,492
316,197,482
477,659,374
316,185,492
484,731,818
579,337,222
565,322,213
563,329,225
307,194,481
481,659,363
329,176,471
475,658,372
312,177,471
485,718,821
487,665,376
326,177,471
314,179,485
482,656,374
477,726,819
326,179,477
470,731,827
482,658,363
489,710,815
585,340,209
485,729,822
309,193,488
471,732,808
316,197,481
570,328,221
578,328,219
479,653,360
312,179,492
463,656,359
483,652,376
573,341,213
485,666,369
474,729,822
489,724,832
329,193,469
581,323,223
579,333,204
580,328,206
468,729,833
580,329,214
482,710,817
310,179,490
474,717,826
307,187,470
323,175,477
323,188,487
462,665,363
475,732,831
319,194,470
480,727,811
469,668,356
475,665,358
569,320,215
306,188,487
489,733,830
468,659,365
475,659,371
475,658,370
464,673,364
560,341,204
481,726,808
568,338,213
574,324,222
574,324,204
468,670,370
